product_url,product_price,product_description,product_name
https://www.liveyoursport.com/products/bands-for-fitbit-charge-2-simpeak-stainless-steel-replacement-metal-band-strap-with-magnetic-closure-clasp-for-fit-bit-charge-2-black-large-black,"Rs 3,093.00","Note: You'd better not to soak the Milanese Stainless Steel Watch Strap in the water directly. Band Width:18mm. Fits for 6.1 inch - 9.9 inch wrist 1x Fitbit Charge 2 Replacement Wristbands (No tracker) Any dissatisfaction is 5-year guaranteed with a replacement or full refund. We checked all the items carefully before the shipping, however, it might be broken during the transport. If you receive defective Fitbit Charge 2 Bands or meet any other problems, please feel free to contact us, we will give you a satisfactory reply within 24 hours.",Bands for Fitbit Charge 2 Simpeak Stainless Steel Replacement Metal Band Strap with Magnetic Closure Clasp for Fit bit Charge 2 Black Large Black*
https://www.liveyoursport.com/products/fitbit-blaze-bands-with-frame-simpeak-silicone-replacement-band-strap-with-black-frame-case-for-fit-bit-blaze-smart-fitness-watch-large-black-black-band-rose-gold-frame,"Rs 3,332.00","Only for Fitbit Blaze Watch (Tracker is NOT included) 1. Band Silicone Material: Smooth, Durable and Comfortable for daily use. 2. Frame Stainless Steel Material: 2 Color for your choice - Black/Rose Gold, the metal frames are finished by premium plating process. Measure your wrist size before purchase 1. Large Size: Fit Wrist Size 6.7 - 8.1 inch(Width:24mm) 2. Small Size: Fit Wrist Size 5.5 - 6.7 inch(Width:24mm) Allows easy access to all buttons, controls and ports. We provide a 5 years warranty and free lifetime technical support globally. You can get an exchange or refund if your band has any quality issues within 5 years. 1. Silicone Band x1 2. Frame x1 3. Quick Release Pins x2",Fitbit Blaze Bands with Frame Simpeak Silicone Replacement Band Strap with Black Frame Case for Fit bit Blaze Smart Fitness Watch Large Black Black Band+Rose Gold Frame*
https://www.liveyoursport.com/products/fitbit-blaze-bands-simpeak-rugged-protective-frame-case-with-resilient-strap-replacement-bands-for-fit-bit-blaze-smart-fitness-watch-black-red-frame-with-band-black,"Rs 3,333.00","Compatible with Fitbit Blaze Smart Watch, allowing full access to touchscreen, camera, buttons, and ports. High grade polycarbonate + thermoplastic polyurethane TPU for shock absorption. Front bezel elevated to prevent scratches of watch screen. 1x Strap Bands for Fitbit Blaze Smart Watch Supply 5 years warranty and Email us for free to get the support.",Fitbit Blaze Bands Simpeak Rugged Protective Frame Case with Resilient Strap Replacement Bands for Fit bit Blaze Smart Fitness Watch Black Red Frame with Band Black*
https://www.liveyoursport.com/products/fitbit-alta-hr-black-small-us-version-fuchsia,"Rs 22,857.00","Move to the beat of you with Fitbit Alta HR-the heart rate wristband that motivates you to reach your goals in style. Jumpstart your fitness journey with PurePulse heart rate and SmartTrack automatic exercise recognition. Track your all-day activity and sleep, stay connected with smartphone notifications, and get friendly Reminders to Move.",Fitbit Alta HR Black Small US Version Fuchsia*
https://www.liveyoursport.com/products/fitbit-blaze-bands-simpeak-rugged-protective-frame-case-with-resilient-strap-replacement-bands-for-fit-bit-blaze-smart-fitness-watch-black-case-with-band-black,"Rs 3,333.00","Compatible with Fitbit Blaze Smart Watch, allowing full access to touchscreen, camera, buttons, and ports. High grade polycarbonate + thermoplastic polyurethane TPU for shock absorption. Front bezel elevated to prevent scratches of watch screen. 1x Strap Bands for Fitbit Blaze Smart Watch Supply 5 years warranty and Email us for free to get the support.",Fitbit Blaze Bands Simpeak Rugged Protective Frame Case with Resilient Strap Replacement Bands for Fit bit Blaze Smart Fitness Watch Black Case with band black*
https://www.liveyoursport.com/products/fitbit-alta-hr-black-small-us-version-coral,"Rs 22,855.00","Move to the beat of you with Fitbit Alta HR-the heart rate wristband that motivates you to reach your goals in style. Jumpstart your fitness journey with PurePulse heart rate and SmartTrack automatic exercise recognition. Track your all-day activity and sleep, stay connected with smartphone notifications, and get friendly Reminders to Move.",Fitbit Alta HR Black Small US Version Coral*
https://www.liveyoursport.com/products/fitbit-blaze-bands-with-frame-simpeak-silicone-replacement-band-strap-with-black-frame-case-for-fit-bit-blaze-smart-fitness-watch-large-black-black-band-black-frame,"Rs 3,332.00","Only for Fitbit Blaze Watch (Tracker is NOT included) 1. Band Silicone Material: Smooth, Durable and Comfortable for daily use. 2. Frame Stainless Steel Material: 2 Color for your choice - Black/Rose Gold, the metal frames are finished by premium plating process. Measure your wrist size before purchase 1. Large Size: Fit Wrist Size 6.7 - 8.1 inch(Width:24mm) 2. Small Size: Fit Wrist Size 5.5 - 6.7 inch(Width:24mm) Allows easy access to all buttons, controls and ports. We provide a 5 years warranty and free lifetime technical support globally. You can get an exchange or refund if your band has any quality issues within 5 years. 1. Silicone Band x1 2. Frame x1 3. Quick Release Pins x2",Fitbit Blaze Bands with Frame Simpeak Silicone Replacement Band Strap with Black Frame Case for Fit bit Blaze Smart Fitness Watch Large Black Black Band+Black Frame*
https://www.liveyoursport.com/products/diggro-id115hr-smart-bracelet-heart-rate-bluetooth-4-0-sports-pedometer-calorie-ip67-waterproof-sleep-monitor-call-sms-reminder-sedentary-reminder-for-android-ios-blue,"Rs 5,659.00","1. App: VeryFit for heart rate 2. Compatibility: Android 4.4 or above and Bluetooth must be 4.0 or above; IOS 7.1 or above and Bluetooth must be 4.0 or above Wake-up gesture The screen will light when you turn over your wrist. Remote Camera You can take photos through the bracelet via remotely control of your smart phone. Heart Rate Monitor It can monitor your heart rate to help you do exercise and adjust your training plan scientifically. Calls Reminder When you have calls, the smart bracelet will vibrate to remind you and display the call name or number. SMS Reminder When you have SMS or social notice such as Facebook and Twitter, the smart bracelet will vibrate and display the content. Sleep Monitor It will automatically recognize your state and monitor your whole sleep process with analyzing your deep sleep time and light sleep hours. Find Phone and Anti-lost The Phone will vibrate to remind you after starting the find phone function on the bracelet. While the bracelet be far away from the phone, the bracelet will vibrate. Alarm Clock Don't be afraid that your alarm would wake up others because this silent vibration function just wake you up! (Alarm icon will be displayed on the bracelet after switch it ON in the APP.) CPU: Nordic Sensor: Kionix Screen: OLED Host Weight: 0.04lb Case Material: PC Wristband Material: TPE Standby Time: 5~7 Days Charging Time: 1~1.5Hour Bluetooth Version: 4.0 Battery: Li-battery 45mAh Gsensor: Gsensor kx022-1020 1 x Smart Bracelet 1 x Watch Band 1 x User Manual",Diggro ID115HR Smart Bracelet Heart Rate Bluetooth 4.0 Sports Pedometer Calorie IP67 Waterproof Sleep Monitor Call SMS Reminder Sedentary Reminder for Android IOS Blue*
https://www.liveyoursport.com/products/fitbit-alta-hr-black-small-us-version-blue-gray,"Rs 22,858.00","Move to the beat of you with Fitbit Alta HR-the heart rate wristband that motivates you to reach your goals in style. Jumpstart your fitness journey with PurePulse heart rate and SmartTrack automatic exercise recognition. Track your all-day activity and sleep, stay connected with smartphone notifications, and get friendly Reminders to Move.",Fitbit Alta HR Black Small US Version Blue/Gray*
https://www.liveyoursport.com/products/fitbit-alta-hr-black-small-us-version-pink-rose-gold,"Rs 27,497.00","Move to the beat of you with Fitbit Alta HR-the heart rate wristband that motivates you to reach your goals in style. Jumpstart your fitness journey with PurePulse heart rate and SmartTrack automatic exercise recognition. Track your all-day activity and sleep, stay connected with smartphone notifications, and get friendly Reminders to Move.",Fitbit Alta HR Black Small US Version Pink Rose Gold*
